Group,Experiment,Problem Space,Samples,Iterations,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
TSPSolver,NullHeuristic,2,10,1,1,20,50000,20,25.9,58,134.1,11.5802,2.43422,4.3192,0.509492
TSPSolver,NullHeuristic,3,10,1,1,134,7462.69,134,144.2,156,45.2889,6.7297,0.121187,-0.782691,1.51567
TSPSolver,NullHeuristic,4,10,1,1,768,1302.08,768,1054.9,1496,52631,229.414,0.426227,-0.637355,1.25058
TSPSolver,NullHeuristic,5,10,1,1,3943,253.614,3943,4921.4,6692,537591,733.206,1.30137,1.6761,1.33441
TSPSolver,NullHeuristic,6,10,1,1,24844,40.2512,24844,32761.5,37607,1.49945e+07,3872.27,-0.688252,-0.214921,2.04467
TSPSolver,NullHeuristic,7,10,1,1,141654,7.05945,141654,186786,247736,1.26497e+09,35566.4,0.527088,-0.983617,1.26895
TSPSolver,NullHeuristic,8,10,1,1,1.12406e+06,0.889631,1124061,1.39198e+06,1623846,3.02295e+10,173866,0.275847,-1.13834,1.54094
TSPSolver,NullHeuristic,9,10,1,1,4.10314e+06,0.243716,4103141,7.39162e+06,10891974,3.5685e+12,1.88905e+06,0.180472,-0.202833,1.74081
TSPSolver,NullHeuristic,10,10,1,1,0,inf,0,0,0,0,0,-nan,0,0
TSPSolver,NullHeuristic,11,10,1,1,0,inf,0,0.2,1,0.177778,0.421637,1.5,0.25,0.474342
TSPSolver,NullHeuristic,12,10,1,1,0,inf,0,0.2,1,0.177778,0.421637,1.5,0.25,0.474342
TSPSolver,NullHeuristic,13,10,1,1,0,inf,0,0,0,0,0,-nan,0,0
TSPSolver,NullHeuristic,14,10,1,1,0,inf,0,0,0,0,0,-nan,0,0
TSPSolver,NullHeuristic,15,10,1,1,0,inf,0,0,0,0,0,-nan,0,0
TSPSolver,NullHeuristic,16,10,1,1,0,inf,0,0.3,1,0.233333,0.483046,0.872872,-1.2381,0.621059
TSPSolver,ShortestPathHeuristic,2,10,1,0.95,19,52631.6,19,24.6,46,67.8222,8.23542,2.00991,2.73164,0.679989
TSPSolver,ShortestPathHeuristic,3,10,1,1.12687,151,6622.52,151,155,165,22,4.69042,1.16453,0.0655035,0.852803
TSPSolver,ShortestPathHeuristic,4,10,1,0.923177,709,1410.44,709,797.6,894,2512.49,50.1247,0.281776,0.0939257,1.76759
